image_size,batch,latency_s,memory_bytes,energy_j,flops_profiler,flops_predicted,memory_predicted_bytes,status,is_validation,energy_method
448,16,0.011158143997192383,232095744,0.8008888887034522,56889349696.0,56889349696.0,171147024.0,OK,1,nvml_counter
448,32,0.017843008041381836,450985984,1.2610526314952917,113778699392.0,113778699392.0,338132752.0,OK,1,nvml_counter
448,33,0.01892323112487793,464257024,1.3540943399915155,117334283748.0,117334283748.0,348569360.0,OK,1,nvml_counter
448,64,0.04650156784057617,1021616128,3.3704687505960464,227557398784.0,227557398784.0,672104208.0,OK,1,nvml_counter
448,128,0.08358060455322265,1759608832,6.08203125,455114797568.0,455114797568.0,1340047120.0,OK,1,nvml_counter
448,229,0.15292643737792969,3138781184,10.996531249955297,814228817524.0,814228817524.0,2394144528.0,OK,1,nvml_counter
448,252,0.168597412109375,3452862464,12.108874998986721,896007257712.0,896007257712.0,2634186512.0,OK,1,nvml_counter
448,256,0.17116761779785156,3506536448,12.356187500059605,910229595136.0,910229595136.0,2675932944.0,OK,1,nvml_counter
512,1,0.000749567985534668,31162368,0.06507340821434049,4643932516.0,4643932516.0,17792784.0,OK,0,nvml_counter
512,2,0.0012942399978637695,48332800,0.12147477357847107,9287865032.0,9287865032.0,31424272.0,OK,0,nvml_counter
512,4,0.0029309439659118653,83984384,0.23431871352139969,18575730064.0,18575730064.0,58687248.0,OK,0,nvml_counter
512,8,0.0069344320297241215,155287552,0.5459448275894955,37151460128.0,37151460128.0,113213200.0,OK,0,nvml_counter
512,16,0.014889920234680176,297893888,1.1658676477039562,74302920256.0,74302920256.0,222265104.0,OK,0,nvml_counter
512,32,0.023635328292846678,583106560,1.6738837208858757,148605840512.0,148605840512.0,440368912.0,OK,0,nvml_counter
512,33,0.02509427261352539,601980928,1.793725000321865,153249773028.0,153249773028.0,454000400.0,OK,1,nvml_counter
512,64,0.09669900512695312,2781126656,6.956125000491738,297211681024.0,297211681024.0,876576528.0,OK,0,nvml_counter
512,128,0.10865094757080078,2294382592,7.8552187494933605,594423362048.0,594423362048.0,1748991760.0,OK,0,nvml_counter
512,229,0.1965789794921875,4095836160,14.116624999791384,1063460546164.0,1063460546164.0,3125772048.0,OK,1,nvml_counter
512,252,0.21777635192871095,4504780800,15.686406251043081,1170270994032.0,1170270994032.0,3439296272.0,OK,1,nvml_counter
512,256,0.21961322021484375,4576083968,15.669624999165535,1188846724096.0,1188846724096.0,3493822224.0,OK,0,nvml_counter
